available_percent,available_filter,deep_cursor,arm,block,median_ms,sample_min_ms,sample_max_ms,vm_steps,fullscan_steps,sorts,autoindex_rows,reprepare,cache_hits,cache_misses,temp_spill_bytes,prepare_observation_ms,physical_read_bytes_12_samples,read_syscalls_12_samples,cache_bytes,censored
0.01%,true,true,before,2,188.029174,183.335434,199.70226399999999,12900801,199999,0,0,1,399068,2829,0,0.117709,0,34008,2102784,false
0.01%,true,true,control,2,48.001349,47.502145000000006,48.453704,3000341,199999,0,0,1,299078,2829,0,0.116328,0,34008,2102784,false
0.01%,true,true,store,2,48.505084,47.08599,52.300088,3000341,199999,0,0,1,299078,2829,0,0.104659,0,34008,2102784,false
0.01%,false,false,store,1,0.162948,0.152118,0.21424700000000002,2118,49,0,0,1,312,0,0,0.079609,0,60,96512,false
0.01%,false,false,control,1,0.172098,0.153189,0.20802700000000002,2118,49,0,0,1,312,0,0,0.043989,0,60,96512,false
0.01%,false,false,before,1,0.301476,0.293636,0.324736,12018,49,0,0,1,412,0,0,0.061789,0,60,100864,false
0.01%,false,false,public,1,0.161608,0.14560800000000002,0.176178,,,,,,,,,,0,60,,false
0.01%,false,false,public,2,0.168108,0.148848,0.213167,,,,,,,,,,0,60,,false
0.01%,false,false,before,2,0.312497,0.292847,0.358376,12018,49,0,0,1,412,0,0,0.058489,0,60,100864,false
0.01%,false,false,control,2,0.152018,0.146119,0.192357,2118,49,0,0,1,312,0,0,0.046709,0,60,96512,false
0.01%,false,false,store,2,0.159168,0.14812899999999998,0.201217,2118,49,0,0,1,312,0,0,0.059949,0,60,96512,false
0.01%,false,true,store,1,7.797356,7.354682,13.053503,802220,100049,0,0,1,297,1106,0,0.077179,0,13332,2102784,false
0.01%,false,true,control,1,7.671238,7.370764,8.265151,802220,100049,0,0,1,297,1106,0,0.076549,0,13332,2102784,false
0.01%,false,true,before,1,7.670619,7.411461,8.33861,812120,100049,0,0,1,396,1107,0,0.063289,0,13344,2102784,false
0.01%,false,true,public,1,7.706609,7.269023000000001,8.682698,,,,,,,,,,0,13332,,false
0.01%,false,true,public,2,7.565461,7.326463,7.833467000000001,,,,,,,,,,0,13332,,false
0.01%,false,true,before,2,7.833627,7.583639,8.077124999999999,812120,100049,0,0,1,396,1107,0,0.105649,0,13344,2102784,false
0.01%,false,true,control,2,8.079845,7.401572000000001,10.835315999999999,802220,100049,0,0,1,297,1106,0,0.064469,0,13332,2102784,false
0.01%,false,true,store,2,7.713357,7.397093000000001,13.171482,802220,100049,0,0,1,297,1106,0,0.062819,0,13332,2102784,false
10%,true,false,store,1,0.425124,0.405365,0.519104,11618,499,0,0,1,3263,0,0,0.061689,0,60,214016,false
10%,true,false,control,1,0.456864,0.424274,0.471634,11618,499,0,0,1,3263,0,0,0.056369,0,60,214016,false
10%,true,false,before,1,1361.597442,1342.799083,1380.286953,45023418,499,0,0,1,18111213,0,0,0.136268,0,60,1206272,false
10%,true,false,public,1,0.446925,0.41292500000000004,0.48817499999999997,,,,,,,,,,0,60,,false
10%,true,false,public,2,0.429765,0.408385,0.46136499999999997,,,,,,,,,,0,60,,false
10%,true,false,before,2,1364.847010,1347.21388,1395.272313,45023418,499,0,0,1,18111213,0,0,0.131319,0,60,1206272,false
10%,true,false,control,2,0.450615,0.421265,0.5332479999999999,11618,499,0,0,1,3263,0,0,0.059469,0,60,214016,false
10%,true,false,store,2,0.460024,0.448384,0.479724,11618,499,0,0,1,3263,0,0,0.067169,0,60,214016,false
10%,true,true,store,1,7.932796,7.620529,8.211392,812620,100499,0,0,1,3216,1137,0,0.064379,0,13704,2102784,false
10%,true,true,control,1,7.895437,7.576859,9.069357,812620,100499,0,0,1,3216,1137,0,0.064339,0,13704,2102784,false
10%,true,true,before,1,1573.300208,1540.595206,1615.122752,50824420,100499,0,0,1,20122367,1364,0,0.134019,0,16428,2102784,false
10%,true,true,public,1,7.882196,7.685558,8.922764999999998,,,,,,,,,,0,13704,,false
10%,true,true,public,2,7.885651,7.65621,8.513015000000001,,,,,,,,,,0,13704,,false
10%,true,true,before,2,1553.172855,1543.511616,1585.660775,50824420,100499,0,0,1,20122367,1364,0,0.116198,0,16428,2102784,false
10%,true,true,control,2,7.886265,7.672129,8.194617,812620,100499,0,0,1,3216,1137,0,0.068279,0,13704,2102784,false
10%,true,true,store,2,7.918265,7.6325,8.112642999999998,812620,100499,0,0,1,3216,1137,0,0.087399,0,13704,2102784,false
10%,false,false,store,1,0.179598,0.16630799999999998,0.22599799999999998,2243,54,0,0,1,572,0,0,0.048209,0,60,118272,false
10%,false,false,control,1,0.171018,0.163018,0.199477,2243,54,0,0,1,572,0,0,0.043199,0,60,118272,false
10%,false,false,before,1,298.656823,296.065854,316.255055,10002193,54,0,0,1,4023492,0,0,0.119718,0,60,1110528,false
10%,false,false,public,1,0.172858,0.16392800000000002,0.21005700000000002,,,,,,,,,,0,60,,false
10%,false,false,public,2,0.262567,0.173578,0.317131,,,,,,,,,,0,60,,false
10%,false,false,before,2,318.688961,308.009747,335.211264,10002193,54,0,0,1,4023492,0,0,0.192748,0,60,1110528,false
10%,false,false,control,2,0.211497,0.170998,0.358215,2243,54,0,0,1,572,0,0,0.046499,0,60,118272,false
10%,false,false,store,2,0.175148,0.163988,0.208018,2243,54,0,0,1,572,0,0,0.043309,0,60,118272,false
10%,false,true,store,1,7.482632,7.294003,7.740135,802355,100054,0,0,1,552,1111,0,0.079649,0,13392,2102784,false
10%,false,true,control,1,7.434086,7.299003,8.230698,802355,100054,0,0,1,552,1111,0,0.061729,0,13392,2102784,false
10%,false,true,before,1,328.098254,319.231139,345.328337,11052305,100054,0,0,1,4123814,1339,0,0.118588,0,16128,2102784,false
10%,false,true,public,1,7.598699,7.3159339999999995,7.730029,,,,,,,,,,0,13392,,false
10%,false,true,public,2,7.535150,7.405463,7.706808,,,,,,,,,,0,13392,,false
10%,false,true,before,2,324.034596,318.65606099999997,334.76254300000005,11052305,100054,0,0,1,4123814,1339,0,0.120639,0,16128,2102784,false
10%,false,true,control,2,8.178162,7.489990000000001,12.922846,802355,100054,0,0,1,552,1111,0,0.061319,0,13392,2102784,false
10%,false,true,store,2,7.519610,7.3243730000000005,7.714819,802355,100054,0,0,1,552,1111,0,0.091329,0,13392,2102784,false
90%,true,false,store,1,0.200878,0.19281800000000002,0.252647,2718,54,0,0,1,857,0,0,0.060000,0,60,118272,false
90%,true,false,control,1,0.199377,0.192248,0.254247,2718,54,0,0,1,857,0,0,0.042579,0,60,118272,false
90%,true,false,before,1,160.543241,157.501631,166.946224,4514963,54,0,0,1,1805762,10545,0,0.118819,0,126600,2102784,false
90%,true,false,public,1,0.203027,0.19350699999999998,0.239757,,,,,,,,,,0,60,,false
90%,true,false,public,2,0.197357,0.191998,0.235607,,,,,,,,,,0,60,,false
90%,true,false,before,2,160.820282,158.21595399999998,170.229545,4514963,54,0,0,1,1805762,10545,0,0.120589,0,126600,2102784,false
90%,true,false,control,2,0.222977,0.195328,0.363666,2718,54,0,0,1,857,0,0,0.043119,0,60,118272,false
90%,true,false,store,2,0.200877,0.19470800000000002,0.222687,2718,54,0,0,1,857,0,0,0.044450,0,60,118272,false
90%,true,true,store,1,7.639508,7.454510999999999,7.912381,802830,100054,0,0,1,836,1112,0,0.067409,0,13404,2102784,false
90%,true,true,control,1,7.464811,7.286143,8.134723,802830,100054,0,0,1,836,1112,0,0.067769,0,13404,2102784,false
90%,true,true,before,1,1934.913218,1910.1650449999997,1952.191488,50315075,100054,0,0,1,19805739,116723,0,0.136689,0,1400736,2102784,false
90%,true,true,public,1,7.499071,7.344262,9.259806000000001,,,,,,,,,,0,13404,,false
90%,true,true,public,2,7.534685,7.324592,12.439513,,,,,,,,,,0,13404,,false
90%,true,true,before,2,1938.827519,1920.032018,1976.785636,50315075,100054,0,0,1,19805739,116723,0,0.119119,0,1400736,2102784,false
